,train_accuracy,train_loss,test_accuracy,test_loss
0,0.54493463,0.6842215,0.6397059,0.6134015
1,0.6691176,0.54580885,0.7132353,0.55697274
2,0.76797384,0.47131705,0.8235294,0.49342525
3,0.79901963,0.42080802,0.77205884,0.5382438
4,0.83986926,0.3961857,0.8161765,0.51487756
5,0.8513072,0.37213358,0.86764705,0.46906206
6,0.8627451,0.38212273,0.8308824,0.46291256
7,0.8619281,0.35142776,0.8308824,0.4965657
8,0.85294116,0.36037517,0.8308824,0.45219842
9,0.87990195,0.33642828,0.8235294,0.4923556
10,0.873366,0.33408242,0.8088235,0.51650846
11,0.88071895,0.33822593,0.8308824,0.49889597
12,0.8864379,0.32620695,0.86764705,0.44607064
13,0.89787585,0.29454663,0.8602941,0.45518813
14,0.90522873,0.29721963,0.8235294,0.49551705
15,0.9003268,0.31267112,0.8602941,0.45386824
16,0.89705884,0.29326516,0.8382353,0.46430022
17,0.8905229,0.3046467,0.88235295,0.42337352
18,0.9133987,0.27676624,0.875,0.44905344
19,0.9003268,0.28019002,0.88235295,0.45941678
20,0.90931374,0.281781,0.85294116,0.5030661
21,0.90931374,0.2588023,0.85294116,0.4700244
22,0.9272876,0.24022885,0.86764705,0.4990897
23,0.90686274,0.26619393,0.8455882,0.4588641
24,0.9150327,0.27099156,0.8602941,0.45473525
25,0.9281046,0.23976047,0.8602941,0.50668174
26,0.9264706,0.23126546,0.86764705,0.4957501
27,0.9183006,0.25331146,0.8382353,0.51553696
28,0.92320263,0.24287404,0.85294116,0.4964503
29,0.9321895,0.22024144,0.9044118,0.49968407
30,0.9289216,0.21486871,0.89705884,0.49849924
31,0.9330065,0.23459026,0.875,0.51807046
32,0.9354575,0.2232783,0.86764705,0.51193416
33,0.9289216,0.23332912,0.86764705,0.4744045
34,0.9460784,0.20012566,0.8014706,0.6263837
35,0.9370915,0.20121191,0.86764705,0.46578917
36,0.9493464,0.1877034,0.875,0.52514744
37,0.9501634,0.19069698,0.8308824,0.53118116
38,0.9346405,0.19770664,0.8382353,0.5679554
39,0.9428105,0.19663471,0.8897059,0.49054024
40,0.9558824,0.16321194,0.8897059,0.5292622
41,0.95098037,0.19160564,0.85294116,0.6084215
42,0.9419935,0.18631071,0.86764705,0.52700746
43,0.9452614,0.18098739,0.75,0.70264846
44,0.9395425,0.18768783,0.8455882,0.55663973
45,0.9599673,0.17250893,0.85294116,0.61145794
46,0.9591503,0.1624542,0.8602941,0.5076564
47,0.9624183,0.15660019,0.8602941,0.613594
48,0.95506537,0.16158098,0.8161765,0.6158747
49,0.9591503,0.1671289,0.8014706,0.6897674
